Team_Year,Unique_Identifier,Conference,Year,Overall_Rank,Wins,Loss,AdjO,AdjD,AdjT,Luck,Strength_of_Schedule_Opp_O,Strength_of_Schedule_Opp_D,Opp_2P,Opp_3P,Opp_FT,Defense_Blk,Defense_Stl,Opp_NST,Opp_A,Opp_3P_Attempts,Off_2P,Off_3P,Off_FT,Off_Blk,Off_Stl,Off_NST,Off_A,Off_3P_Attempts,Off_eFG,Off_TO,Off_Reb,Off_FT_Rate,Opp_eFG,Opp_TO,Def_Reb,Opp_FT_Rate,Avg_Height,Experience,Bench,Continuity
Arizona 2008,11,P10,2008,23,19,15,116.4,97.3,63.5,-0.079,110.3,97.6,47.5,34.5,70.5,8.8,8.5,9.9,52.8,28.2,51.2,39.6,74.4,7.5,7.7,10.7,61.9,32.1,53.9,18.4,26.1,40.4,48.7,18.4,31.5,30.4,76.7,1.43,21.9,48.9
Green Bay 2008,110,Horz,2008,145,15,15,107.1,105.1,65.4,0.019,104.7,102.4,48.4,35.5,68,9,8.7,10.8,52.3,37.2,49.6,36.7,73.8,10.5,9.1,10.9,47.6,27.7,51.1,20,29.6,35.5,50.2,19.4,33.1,36.6,77.2,1.4,31.2,59.6
Hampton 2008,111,MEAC,2008,212,18,12,94.4,99.6,66.5,0.012,97.6,106.8,44.7,28.9,67.4,10.6,12.5,12.7,53.4,31.3,45.5,31.5,60.1,8.2,11,13.7,50,33.9,46.1,24.6,38.9,46.3,44.3,25.2,35.6,37.8,76.1,1.56,32.6,58.4
Hartford 2008,112,AE,2008,245,18,16,102.4,110.1,66.5,0.116,100.5,105.8,48.4,39.6,69,8,10.6,12.4,55.3,41.8,50.4,38.1,67.7,8.6,8.6,12.7,60.5,45.2,53.5,21.3,22.4,38.4,53,23,35.7,34.5,75.5,1.38,28.9,58.8
Harvard 2008,113,Ivy,2008,280,8,22,99.7,111.5,67,-0.095,100.6,105.5,52.1,34.8,74.1,7.5,10.5,9.2,52.4,30.6,50.7,31.7,73.4,11.1,10.5,12,54.8,32,49.7,22.5,28,37,52.1,19.7,32.6,29.2,75.7,1.45,31,55.2
Hawaii 2008,114,WAC,2008,231,11,19,102.2,109.2,66.8,-0.054,101.6,105.1,51.1,39.1,69.2,8.3,8.8,14.4,51.5,28.5,48.7,33.2,74.1,6,9.1,11,60,30.1,49,20.1,29.6,34.9,53.2,23.2,36.4,45.9,78.1,2.48,22.9,49.1
High Point 2008,115,BSth,2008,187,17,14,103.3,106,61.9,-0.077,100.5,106.8,47.4,34.3,64.5,10.3,7.6,12.1,56.4,34.4,50.4,36.5,74.4,9.1,11,9.5,63,38.6,52.1,20.5,31.8,26.6,48.8,19.7,31.7,35.3,75.2,1.6,26.2,50.1
Hofstra 2008,116,CAA,2008,214,12,18,97.9,103,67.2,-0.001,101.5,103.7,45.4,33.4,71.3,15,9,9.6,63,34.5,47.3,33.3,67.2,9.1,11.9,11.4,42.2,26.7,48,23.3,32.2,35,47,18.6,28.9,38.6,76.9,1.55,28.4,38.7
Holy Cross 2008,117,Pat,2008,170,15,14,101.3,102.3,59.6,-0.014,101.5,104.4,44,36.2,68.2,13.2,12,10.3,65.2,38.4,48.6,32.3,73,8.2,12.7,12.8,63.9,30.7,48.5,25.5,40.1,40.5,48,22.3,29.9,42.8,77.8,1.94,33.2,56.4
Houston 2008,118,CUSA,2008,71,24,10,114.2,102.9,69.1,-0.044,102.2,103.1,48.1,33.8,66.7,10.6,12,10.4,58.9,36.3,45.7,36,76.9,10.7,7.1,8.1,48.7,48.6,49.8,15.2,30.8,33.6,49,22.4,31.7,38.8,76.5,2.36,34,42
Arizona St. 2008,12,P10,2008,49,21,13,110.2,96.6,61.2,0.01,107.4,100.6,45.3,35.1,73,10.8,11.1,10.3,65.3,42.2,54.1,35.5,73.9,8.7,9,10.6,63.9,41.5,53.7,19.6,27.1,40.1,48.4,21.4,31.1,32.1,76.6,0.73,26.4,48.6
Howard 2008,120,MEAC,2008,336,6,26,85.9,109.2,62.6,-0.027,99.1,106.6,48.2,35.8,65.6,10.7,6.4,12,55.2,31,47.5,28.4,61.5,6.7,13.8,13.2,47.1,32.7,45.9,27,28.4,36,49.9,18.4,34.7,30.6,78,1.1,35.4,30.5
Idaho 2008,121,WAC,2008,292,8,21,96.3,109.7,64.2,-0.004,103.2,105,52.6,35,74.6,7.9,9.2,11.5,54.2,30.8,44.9,35.5,60,9.4,8.9,14.2,52.8,35.9,47.9,23.1,30.3,30.5,52.6,20.7,32.9,47.7,77.3,2.38,37.2,35.1
Idaho St. 2008,122,BSky,2008,295,12,19,95.8,109.9,60,0.092,103.4,104.5,47.6,37.3,73.1,9.2,8.4,10.4,62.7,40.1,47.9,31.1,69.7,9.5,10.9,12.2,53.4,29.9,47.5,23.1,29.1,35.4,51,18.8,34.5,40.7,78.1,1.71,30.6,41.7
Illinois 2008,123,B10,2008,51,16,19,107.5,94,61,-0.119,108.4,98.8,43.4,33.4,72,8,7.8,12,52.8,35.3,49.2,31.9,60.8,8.9,8.7,12.6,59.6,33,48.8,21.3,36.1,36.5,45.8,19.8,28,37.2,77.6,1.76,28.3,56
Illinois Chicago 2008,124,Horz,2008,113,18,15,104.8,99.5,65.7,-0.015,104,101.8,46.6,34.6,70.6,12.8,9.6,10.3,57.7,37.3,46.9,38.1,72.5,6.8,8.7,11.1,53.6,33.3,50.3,19.8,28.5,32.4,48.6,19.9,28.6,26.1,76.4,1.64,38.5,38.4
Illinois St. 2008,125,MVC,2008,58,25,10,106.2,93.9,62.5,0.043,106.5,102.4,45.6,31.9,69.2,10.3,10.8,11.3,56.2,37.4,50.1,37.2,63.3,7.6,10.4,9.6,62.5,37.9,52.2,20,30.2,33.9,46.5,22.1,29.4,35.4,75.6,2.23,31.9,49.1
Indiana 2008,127,B10,2008,29,25,8,114.6,96.1,66.2,0.037,106.6,100.3,45,34.2,65,10.3,10.4,8.9,56.1,35.6,52.3,34.9,75.9,8,9,10.8,52,34.9,52.3,19.8,35,41.9,47.3,19.3,27.2,31,77.4,1.6,24.1,44.1
Indiana St. 2008,128,MVC,2008,132,15,16,105.9,102.7,64.3,0.041,106.9,100.6,50.4,35.2,68.5,9.6,10.1,11.5,55.6,33.2,46.9,32.4,74.8,9.6,8.6,10.8,55.4,39.3,47.6,19.4,28,36.6,51.2,21.6,32.5,41.3,75.3,1.53,32.5,67.3
Iona 2008,129,MAAC,2008,219,12,20,95.2,100.9,66.3,-0.026,103,105.5,46.4,36,69.7,10.5,11.1,12.8,58.1,38.5,49.1,31.7,69.4,11,11.5,13.6,57.4,33.2,48.6,25.1,32.4,34,49.3,23.9,31.5,47.2,76.3,1.63,31.2,31.7
Arkansas 2008,13,SEC,2008,40,23,12,111.4,96.2,66.5,0.008,108.4,101.2,47.6,33.3,69.7,14.2,9.8,10.8,52.9,35,52.3,34.1,67.8,9.9,9.7,12,54,30.3,51.9,21.7,36.7,37.9,48.4,20.7,30.5,35.6,77.4,2.25,31.1,87.9
Iowa 2008,130,B10,2008,146,13,19,98.8,96.8,58.8,-0.023,106.3,101.4,44.5,33.2,67.9,9.7,7.3,11.7,60.5,36.1,48.3,34.7,64.9,9.3,12.7,12.5,63.8,44,50,25.2,27.9,36,46.4,19,27.6,30.5,78.1,1.76,31.9,54.9
Iowa St. 2008,131,B12,2008,124,14,18,101.7,97.4,64.1,-0.015,107.5,99.3,44.3,36,68.9,9.5,7.7,10.2,47.7,30,47,31.1,72,9,11,8.9,55.1,35,46.8,19.9,26.4,33.5,47.2,17.9,29.7,27.8,78.5,1.32,30,40.2
IPFW 2008,132,Sum,2008,198,13,18,100.5,104.4,65.6,-0.006,105,103.5,49.7,34,70.2,8.6,7.9,10.6,53.1,28.8,49.4,35.3,73,9,10.8,9.4,55.4,33.2,50.6,20.2,17.9,39,50,18.5,30.7,37.2,76.6,2.19,31.7,52.4
IUPUI 2008,133,Sum,2008,66,26,7,116.5,104.8,60.9,-0.019,102.9,105.9,50.1,34.6,69.3,8.4,11.8,10.3,62.2,41.6,54.1,42.4,78.4,6.9,8.3,10.4,55.1,32.9,57.2,18.7,31.7,36,50.8,22.1,32.8,33.3,75.9,1.86,22.7,49.7
Jackson St. 2008,134,SWAC,2008,315,14,20,93,109.2,70,0.04,96.2,108.1,50.5,35.8,67.4,8,10.1,12,53.3,31.1,45,31.8,67.5,9.6,10.3,11.7,50.2,27.4,45.7,22,31.2,42,51.5,22,32.4,40.1,76.1,1.67,31.1,51.9
Jacksonville 2008,135,ASun,2008,211,18,13,102.1,107.1,66.1,0.089,100,106,51.9,33.9,66.8,8.4,10.8,11.8,56.2,36.1,49.5,32,73.3,9.4,10.7,12.6,52.8,31,49,23.3,37.1,43.2,51.5,22.6,32.9,36.7,75.5,1.09,31.2,51.7
Jacksonville St. 2008,136,OVC,2008,326,7,22,97.4,115.8,67.3,-0.081,99.1,109.7,52.4,35.6,68.6,8.5,10.2,9.6,58.3,32.2,47.6,37.7,60.3,11.5,9.1,11.3,63.9,39.1,51.1,20.5,26.9,32.8,52.7,19.8,38.3,39.9,73.9,1.12,30.5,35.7
James Madison 2008,137,CAA,2008,216,13,17,103.9,109.3,68.6,-0.029,101.6,105,53.4,36.9,65.3,5.8,11.1,12,48.1,31.9,49.9,35.9,72.1,7.8,11.3,12.2,51.2,28.3,51,23.5,35.1,40.7,54,23.1,34.2,39.5,76.3,1.67,28.2,62.4
Kansas 2008,138,B12,2008,1,37,3,120.9,85.7,66.8,0.012,109.2,99.6,41.2,32.8,68.2,16.7,13,8.9,52.7,38.3,55.4,39.7,70.7,6.3,9.1,9.9,61.1,29.3,56.6,19.1,36.3,36.4,44.3,21.9,26.6,31,77,2.09,29.4,82.6
Kansas St. 2008,139,B12,2008,26,21,12,114.2,95.3,69.7,-0.049,108,98.9,44.9,37.2,65.5,8.9,10.4,12,56.2,31.5,50.2,32,69.3,8.3,9.7,10.9,55.4,32.2,49.5,20.7,41.1,37.4,48.3,22.4,29.1,38.3,77.3,1.15,32.2,28.4
Arkansas Little Rock 2008,14,SB,2008,193,20,11,95,98.3,64.7,0.092,101,106.5,47.6,29.7,70.2,9.9,9.6,13.3,53.6,35.8,45.7,34.5,66.4,10.3,9,15.5,58.4,30.6,47.6,24.5,34.9,48.9,46.5,22.9,26.3,45,76.7,1.77,40.2,31.2
Kennesaw St. 2008,140,ASun,2008,311,10,20,94.4,110,68.2,0,98.1,106.6,53,34.1,65.2,9.6,13.2,13.4,57.1,29.9,46.1,31,65.1,8.9,12.4,12,50.8,39.3,46.3,24.3,35.4,36.2,52.5,26.6,41.3,41.7,77.2,1.47,32.5,50.7
Kent St. 2008,141,MAC,2008,55,28,7,107.8,94.8,65.1,0.075,103.5,102.5,45.7,32,67.3,10.9,13.1,11.4,54.5,32.6,50.6,36.6,71.4,10,10.9,11.4,57.8,30.5,51.9,22.3,33.6,41.2,46.5,24.4,33.2,37.9,76,2.02,32.2,55.5
Kentucky 2008,142,SEC,2008,78,18,13,107.8,97.8,62.4,0.01,107.4,100.7,43,32.8,70.8,13.2,10,9.2,51.2,33.5,51.5,36.9,73.3,10.8,9,14.1,53.7,31.5,52.7,23.1,30.8,41.1,45.1,19.2,31,42.1,77.9,1.5,28.8,53.8
La Salle 2008,143,A10,2008,147,15,17,107.4,105.5,68.9,-0.004,105.6,102.3,51.8,34.6,71.4,7.2,9.4,9.6,56.5,31.1,46.9,39.6,69.3,14.3,10.2,12.1,55.5,34.5,51.2,22.3,34.6,37.3,51.8,19.1,29.1,33.5,77.1,1.36,33,71.3
Lafayette 2008,144,Pat,2008,185,15,15,106.5,109.2,68.6,-0.036,99.2,104.1,48.1,36.4,73.7,8.2,11,12.9,50.8,33,47.9,39.7,69.4,10.4,10.2,13.2,60.7,45.4,53.2,23.4,33.2,41.9,50.2,23.9,36.9,41.2,75.5,2.24,32.4,65.5
Lamar 2008,145,Slnd,2008,160,19,11,108.1,107.6,69.9,-0.003,99.1,103.7,52.9,37.7,71.4,7.2,11,14.5,55.7,30,50.1,37.8,66.1,9.4,9.6,10.7,58,35.8,52.5,20.3,31,36.6,54,25.5,34.2,38.6,75.1,2.41,33.5,49.4
Lehigh 2008,146,Pat,2008,250,14,15,96.6,104.8,64.2,0.025,98.8,105.8,43.6,40,67,9.2,8.6,12.6,61,31.9,43.8,35.2,73.3,7.1,9.9,10.2,57.1,25.9,46.1,20.2,27.4,37.3,48.9,21.2,29.4,37.3,75.5,1.34,32.5,56.9
Liberty 2008,147,BSth,2008,205,16,16,103.6,108.2,62.3,-0.063,101.8,107.8,51.6,33.7,70.5,4.2,8.6,11,57.9,37.7,54.2,36.8,74.4,11.3,9.6,10.7,64.9,46.4,54.6,20.3,24.3,30.7,51.3,19.6,29.7,35,75.7,1.99,20.3,50.9
Lipscomb 2008,148,ASun,2008,197,15,16,101.3,104.9,66.2,-0.077,99.8,106.1,45.4,36,66.4,6.9,9.3,10.6,50.7,36.5,48.7,35.1,64.9,9.3,9.5,11.2,55.2,35.5,50.1,20.7,30.3,41,48.6,19.9,28.1,38.5,77.1,1.64,33.1,54
Arkansas Pine Bluff 2008,15,SWAC,2008,329,13,18,87.7,107.3,62.7,0.025,95.3,108.5,44.8,32.6,69.7,13.1,7.9,10.5,47.3,30.9,43.1,31.1,62,9.1,10.9,10,49.8,30.6,44.2,20.9,26.2,30.1,46,18.4,29,39.1,76.5,2.23,34.2,59.3
LIU Brooklyn 2008,150,NEC,2008,213,15,15,100.6,105.8,69.4,-0.024,99.4,106.8,50.9,31.5,71.4,6.8,8.9,11.1,55.8,32.6,44.7,32.3,68,10.3,9,9.3,43.9,35.2,46.1,18.3,33.3,39.3,49.8,19.9,28.2,28,75.2,1.18,27.3,27.1
Long Beach St. 2008,151,BW,2008,304,6,25,96.3,111.2,62.9,-0.082,102.2,105.2,51.4,37,71.1,6.3,7.9,11.2,56,35.4,47.3,35.1,74.3,8,11.3,12.8,63.5,37.7,49.3,24,25.6,35.2,52.9,19.1,32.6,31.4,75.8,1.52,34.5,3.7
Longwood 2008,152,ind,2008,327,9,22,97.9,116.5,66.5,-0.009,99.9,104.5,54.6,39.8,71.8,5.8,10.9,12.1,56.6,33.7,40,35.8,66.5,9.5,11.1,11.4,62.8,37.9,45.2,22.5,32.8,31.8,56.3,23.1,32.5,39.3,75.8,2.06,30.2,52.3
Louisiana Lafayette 2008,154,SB,2008,195,15,15,97.6,101,63.5,0.035,103.4,105.8,46.2,35.1,70,9.2,10.6,12.5,47.8,25.8,46,33.7,65,7.2,8.9,12.9,46.2,38.1,47.7,21.8,33,38.8,47.9,23.1,35.8,45,76.7,1.21,46.7,37
Louisiana Monroe 2008,155,SB,2008,269,10,21,102.1,112.1,65.1,-0.031,103.8,102.7,50.6,38.2,69.3,6.4,9.4,10.2,56.3,32.7,47.7,34.2,71.6,9.3,10.9,12,48.7,44.7,49.3,22.9,30.4,40.3,52.8,19.7,37.6,38.7,73.8,2.02,29.3,78.6
Louisiana Tech 2008,156,WAC,2008,328,6,24,93.3,112.4,63.2,-0.003,101.2,106.1,55.4,35.1,66.6,5.3,9.5,12.5,52.7,26.2,41.7,34.5,73.5,9.2,8.4,10.3,40.1,32.4,45,18.7,22,31.2,54.7,22,34.6,35.5,74.7,1.41,28.6,26.1
Louisville 2008,157,BE,2008,8,27,9,113.1,87.7,65.3,-0.057,108.4,99,43.1,30.4,68.3,13.6,11.9,9.3,57.1,34.7,53.5,35,64.7,7.6,8.7,11.6,58.2,38.7,53.1,20.2,32.4,36.5,44,21.2,29,33.4,76.7,1.62,32.7,75.5
Loyola Chicago 2008,158,Horz,2008,199,12,19,100.1,104,60.3,0.037,104.3,102,48.3,37.3,74,8.2,8.8,12.2,57.6,34.4,45.4,28.2,71.6,9.7,8.5,10.8,45.5,30.2,44.5,19.4,31.1,32.2,50.9,21,31.7,35.9,77.2,1.93,32.4,52.6
Loyola Marymount 2008,159,WCC,2008,332,5,26,91.2,113.6,68.2,0.066,102,102.7,54.7,37.7,68.9,5.9,8,12.5,58,31,43.7,32,64.1,10.4,12.2,13.5,59.1,33.8,45.2,25.7,26.9,37.1,55.3,20.4,32.6,40.6,76.8,1.05,37.9,31.8
Arkansas St. 2008,16,SB,2008,270,10,20,104.9,115.2,64.1,-0.022,102.8,105.4,53.2,42.2,70.9,6.2,9.4,12.1,44.1,36.9,47.3,40.1,72.1,8,9.9,10.8,48.3,31.6,51.3,20.6,29.5,31.8,56.9,21.6,35.6,39.9,75.8,1.82,34,47.7
Loyola MD 2008,160,MAAC,2008,163,19,14,108.1,108,64.7,0.052,101.9,104.9,46.9,34,68.4,8.4,8.7,9.7,49.4,33.2,47.2,36.9,76.8,13,10,11.5,59.8,39.8,50.4,21.5,34,38.9,48.2,18.4,32.1,44.1,75.4,1.98,26.9,65.2
LSU 2008,161,SEC,2008,115,13,18,104.9,99.7,65.6,-0.08,106.9,100.4,46.1,34.3,66.9,14.9,8.7,10.6,49,31.7,48.4,32.2,74.8,9.9,9.9,10.4,47.3,34.8,48.3,20.3,30,29.3,47.8,19.3,34.7,28,78.7,1.35,23.4,28.9
Maine 2008,162,AE,2008,322,7,23,92.6,110.4,66.3,-0.034,100.5,105.9,48.6,35.7,73.1,7,9.3,10.2,59.1,34.8,44.7,33.8,68,9.1,13,13.9,53.7,30.6,46.6,26.9,32.3,40,50.3,19.4,31,35,78.1,1.2,36.1,38.8
Manhattan 2008,163,MAAC,2008,238,12,19,101.8,109.3,66,-0.061,100.6,105.4,51.9,38.2,67.4,8.8,11.4,11.3,53.8,32.3,46.3,35.3,66.4,8.7,9,11.2,46.3,32.7,48.5,20.2,31.3,38.8,53.6,22.7,31.5,42.8,76.1,0.8,40.4,59.1
Marist 2008,164,MAAC,2008,148,18,14,106.3,104.4,63.3,0.018,103.4,103.8,45.8,33.4,72.8,7.2,7.7,10.6,42.8,32.6,49,38,64.7,12.6,10.1,10.2,48.3,38.3,52.1,20.3,32.4,35.8,47.2,18.3,30.4,35.9,76.3,1.98,30.6,31.1
Marquette 2008,165,BE,2008,14,25,10,115.3,93.1,66.6,-0.027,107.9,99.3,46.7,30.4,67.9,10.2,13.3,10.2,54.7,31.1,49,35.8,70.5,9.1,8.9,9.5,56.4,33.6,50.6,18.4,36.6,37.5,46.3,23.5,31.3,41,75.8,1.9,30.7,81.9
Marshall 2008,166,CUSA,2008,139,16,14,106.2,103.6,62.9,-0.007,103.6,102,49.7,35.4,67.4,7.5,9.3,12.2,54,32.9,46.7,31.8,69,8.7,10,9.1,53.1,32.2,47,19.1,35.3,43.5,50.9,21.5,30.4,39,75.7,1.68,31.5,48.6
Maryland 2008,167,ACC,2008,63,19,15,107.1,95.1,69.9,-0.044,106.6,99.2,42.6,32.4,74,15.1,9.1,10.2,50.1,30.4,50.9,33.8,70.3,11.5,12.8,10.4,62.8,27.8,50.9,23.2,32.8,37.5,44.4,19.4,32.8,30.9,77.9,1.44,21.4,48.1
Maryland Eastern Shore 2008,168,MEAC,2008,340,4,28,86.1,114.4,67.1,-0.004,97.8,106.2,51.4,38.3,65.2,7,10.7,11.6,59.3,33.8,39.2,26.6,61.7,11.6,10.5,11.4,40.8,28.4,39.4,21.9,32.9,37.8,53.4,22.3,39.1,40.7,75.8,1.12,35.1,41
Massachusetts 2008,169,A10,2008,52,25,11,110.5,97.3,74.6,0.005,107.3,102,46.1,34.1,67.8,16.8,9.8,9.7,53.8,30.1,50,35.6,67.2,10.8,8.6,9,56.3,40.8,51.4,17.6,29.4,38.6,47.6,19.6,31.8,37.9,77.3,2.08,24.2,43.4
Army 2008,17,Pat,2008,264,14,16,89.3,98.8,62.9,0.073,100.6,106.7,46.4,34.6,70.6,7.5,13.3,13.3,59.9,43.8,48.5,31.3,68,8.5,10.5,13,63.1,29.8,48,23.5,24.9,30,48.8,26.6,31.3,43.3,74.8,1.72,28.7,59.6
McNeese St. 2008,170,Slnd,2008,236,13,16,96.6,103.8,65.2,0.004,100.8,103.3,42.4,35.2,70.3,16,8.9,9.2,54.4,33.2,44.9,32.7,68.6,9,13.2,12.1,52.4,29.2,46.1,25.3,35.4,34.1,45.8,18.1,29.7,41,76.6,1.59,27.4,69.3
Memphis 2008,171,CUSA,2008,2,38,2,118,86.5,68.1,0.012,107,101.1,42.7,30.2,68,15,12,9.9,49.2,28.7,53,34.9,61.4,8.2,8.2,8.3,55.7,35.3,52.8,16.5,37.6,40.4,43.4,21.9,26.9,31.7,77.9,1.61,31.4,71.2
Mercer 2008,172,ASun,2008,281,11,19,97.6,109.5,70.9,-0.046,99.6,107.8,46.5,35.7,67.1,12.2,8.4,10.1,57.8,34.9,48.2,31.6,66.9,8.8,10.9,9.3,46.3,29.8,48,20.2,33.1,35,49,18.5,35.8,28.3,76.6,1.77,29.2,63
Miami FL 2008,173,ACC,2008,37,23,11,112.5,97.1,65.8,-0.003,106.7,98.9,43.7,35.6,66.8,11.8,8.3,11.9,49.4,34.1,45.7,37.9,75.3,10.3,9.3,9.7,51,31,49.2,19,34.8,39.1,47,20.2,32.1,35.4,76.9,1.82,34.8,62.9
Miami OH 2008,174,MAC,2008,81,17,16,108.4,98.7,58,-0.038,106.4,100,48,33.2,66.3,9.8,8.9,11.1,46.6,33.9,50.6,35.6,70,8.2,9,10.6,54.4,31.8,51.5,19.7,29.2,31,48.6,20.1,31.5,30.9,76.7,1.91,24.2,57.8
Michigan 2008,175,B10,2008,137,10,22,104.4,101.7,64.1,-0.037,107.9,98.5,48.4,38.1,68.5,13.9,9.7,10.9,60.7,35,45.2,31.2,70.6,9.5,9.5,10.3,55,40.7,45.8,19.8,32,28.4,51.5,20.6,34,27.5,77.4,1.01,31.6,29.1
Michigan St. 2008,176,B10,2008,19,27,9,115.8,94.7,63.3,0.032,108.2,99.5,45.5,31.2,67,12.2,9,9.4,56.1,37.1,51.6,37,73.7,9.8,9.2,11.4,66.5,24.5,52.5,20.7,38,33.4,46,18.4,29.5,33.2,76.8,1.63,30,71.3
Middle Tennessee 2008,177,SB,2008,165,17,15,104.9,105.1,62.1,0.065,104.6,105.1,51.3,34.9,73.2,6.8,8.7,11.6,51.6,38.1,50.5,36.1,71.2,6.7,11,10.4,50.5,29.7,51.6,21.4,27.9,41.4,51.7,20.3,29.5,46.4,76.7,1.52,23.2,57.8
Milwaukee 2008,179,Horz,2008,167,14,16,100.7,100.9,67,0.035,104.3,102.2,49.8,34.8,69.8,7.5,8.1,11.2,49.4,28.9,44,30.8,67.9,9.9,8.4,9.8,52.8,36.2,44.8,18.3,31.2,35.6,50.5,19.3,25.8,36.5,75.5,1.93,34.5,58.2
Auburn 2008,18,SEC,2008,149,14,16,109.8,107.8,65.1,0.008,105.7,101.9,55.4,37.5,67.8,7.5,12.8,9.4,56.2,41,53.5,34,66.9,10.6,8.6,11.6,58.3,39.7,52.5,20.1,30.6,31.5,55.8,22.2,31.8,28.1,76.6,1.89,18.7,72.7
Minnesota 2008,180,B10,2008,70,20,14,108.4,97.1,65.1,-0.025,105.5,100.2,47.4,33.5,71.9,12.7,13.4,10.8,60.6,37.2,47.5,36.7,67.7,9.4,10.3,11,63,35.6,50.2,21.2,34,34.9,48.5,24.3,31.4,39.5,76.9,1.68,38.2,62
Mississippi 2008,181,SEC,2008,50,24,11,114.2,100.7,69.3,0.01,106.7,101,48.3,34.4,66.9,8.8,9.6,9.6,55.6,36.3,50.4,36.7,65.1,9.9,8.7,9.7,53.9,33,52,18.4,37.9,30,49.5,19.3,28.8,34.4,76.7,1.46,27.1,42.3
Mississippi St. 2008,182,SEC,2008,33,23,11,108.2,91.5,66.6,-0.043,108.1,101.8,39.7,31.8,68.4,19.2,8.4,9.1,50.4,35,53.3,33.4,64.6,9.4,9.4,11.7,50.6,36.6,52.2,21.1,33.6,39,42.5,17.5,29,28,77.1,1.34,21.2,60.4
Mississippi Valley St. 2008,183,SWAC,2008,306,17,16,91.9,107.1,63,0.115,96.7,107.7,50.9,31.6,65.7,7.5,8.8,13.6,51.2,31.5,40.7,34.2,66.9,9.7,9.6,11.4,52,24.8,43.4,21,30.7,40.3,49.8,22.4,33.1,36.9,75.3,2.53,30,45.6
